id;name
DP.127;Biển hết tốc độ tối đa
DP.133;Hết cấm vượt
DP.134;Hết hạn chế tốc độ tối đa
DP.135;Hết tất cả lệnh cấm
EMPTY;Không có biển báo giao thông
I.401;Bắt đầu đường ưu tiên
I.402;Hết đoạn đường ưu tiên
I.405a;Đường cụt bên trái
I.405b;Đường cụt bên phải
I.405c;Đường cụt phía trước
I.406;Được ưu tiên qua đường hẹp
I.407a;Đường một chiều đi thẳng
I.407b;Đường một chiều rẽ phải
I.407c;Đường một chiều rẽ trái
I.408;Nơi đỗ xe
I.408a;Nơi đỗ xe một phần trên hè phố
I.409;Chỗ quay xe
I.410;Khu vực quay xe
I.413a;Đường phía trước có làn đường dành cho ô tô khách
I.413b;Rẽ ra đường có làn đường dành cho ô tô khách
I.414;Chỉ hướng đường
I.416;Lối đi đường vòng tránh
I.417;Chỉ hướng đường phải đi cho từng loại xe
I.418;Lối đi ở những vị trí cấm rẽ
I.419;Chỉ dẫn địa giới
I.422;Di tích lịch sử
I.423a;Đường người đi bộ sang ngang, bên trái
I.423b;Đường người đi bộ sang ngang, bên phải
I.424a;Cầu vượt qua đường cho người đi bộ, bên trái
I.424b;Cầu vượt qua đường cho người đi bộ, bên phải
I.424c;Hầm chui qua đường cho người đi bộ, bên trái
I.424d;Hầm chui qua đường cho người đi bộ, bên phải
I.425;Bệnh viện
I.426;Trạm cấp cứu
I.427a;Trạm sửa chữa
I.427b;Trạm kiểm tra tải trọng xe
I.428;Trạm cung cấp xăng dầu
I.429;Nơi rửa xe
I.430;Điện thoại
I.431;Trạm dừng nghỉ
I.432;Khách sạn
I.433;Nơi nghỉ mát
I.434a;Bến xe buýt
I.435;Bến xe điện
I.436;Trạm cảnh sát giao thông
I.437;Đường cao tốc
I.438;Hết đường cao tốc
I.439;Tên cầu
I.440;Đoạn đường thi công
I.441a;Báo hiệu phía trước có công trường thi công cách 500m
I.441b;Báo hiệu phía trước có công trường thi công cách 100m
I.441c;Báo hiệu phía trước có công trường thi công cách 50m
I.442;Chợ
I.443;Xe kéo moóc
I.444a;Biển báo chỉ dẫn địa điểm, ga xe lửa
I.444b;Biển báo chỉ dẫn địa điểm, sân bay
I.444c;Biển báo chỉ dẫn địa điểm, bãi đỗ xe
I.444d;Biển báo chỉ dẫn địa điểm, bến xe khách
I.444e;Biển báo chỉ dẫn địa điểm, trạm cấp cứu
I.444f;Biển báo chỉ dẫn địa điểm, bến tàu khách
I.444g;Biển báo chỉ dẫn địa điểm, chùa hương
I.444h;Biển báo chỉ dẫn địa điểm, trạm xăng dầu
I.444i;Biển báo chỉ dẫn địa điểm, rửa xe
I.444j;Biển báo chỉ dẫn địa điểm, bến phà
I.444k;Biển báo chỉ dẫn địa điểm, ga tàu điện ngầm
I.444l;Biển báo chỉ dẫn địa điểm, nhà hàng ăn uống
I.444m;Biển báo chỉ dẫn địa điểm, trạm sửa chữa ô tô
I.445a;Biển báo mô tả tình trạng đường, đường trơn, chạy chậm
I.445b;Biển báo mô tả tình trạng đường, đường dốc, chạy chậm
I.445c;Biển báo mô tả tình trạng đường, đường nhiều sương mù
I.445d;Biển báo mô tả tình trạng đường, nền đường yếu
I.445e;Biển báo mô tả tình trạng đường, xe lớn đi sát về bên phải
I.445f;Biển báo mô tả tình trạng đường, chú ý gió ngang
I.445g;Biển báo mô tả tình trạng đường, đoạn đường hay xảy ra tai nạn
I.445h;Biển báo mô tả tình trạng đường, xuống dốc liên tục
I.446;Biển báo chỉ dẫn nơi đỗ xe dành cho người khuyết tật
I.447;Biển báo cầu vượt liên thông
I.448;Làn đường cứu nạn
I.449;Biển tên đường
P.101;Đường cấm
P.102;Cấm đi ngược chiều
P.103a;Cấm ô tô
P.103b;Cấm ô tô rẽ phải
P.103c;Cấm ô tô rẽ trái
P.104;Cấm mô tô
P.105a;Cấm ô tô và mô tô
P.105b;Cấm mô tô và xe ba bánh
P.106a;Cấm ô tô tải
P.106b;Cấm ô tô tải theo trọng lượng
P.106c;Cấm ô tô tải chở hàng nguy hiểm
P.107;Cấm ô tô khách và ô tô tải
P.107a;Cấm ô tô khách
P.107b;Cấm xe taxi
P.108;Cấm ô tô kéo rơ-moóc
P.108a;Cấm xe sơ-mi rơ-moóc
P.109;Cấm máy kéo
P.110a;Cấm xe đạp
P.110b;Cấm xe đạp thồ
P.111a;Cấm xe gắn máy
P.111b;Cấm xe ba bánh loại có động cơ (xe lam)
P.111c;Cấm xe ba bánh loại có động cơ (xe lôi máy, xích lô máy)
P.111d;Cấm xe ba bánh loại không có động cơ
P.112;Cấm người đi bộ
P.113;Cấm xe người kéo, đẩy
P.114;Cấm xe súc vật kéo
P.115;Hạn chế trọng lượng xe
P.116;Hạn chế trọng lượng trên trục xe
P.117;Hạn chế chiều cao
P.118;Hạn chế chiều ngang
P.119;Hạn chế chiều dài ô tô
P.120;Hạn chế chiều dài ô tô kéo moóc
P.121;Cự ly tối thiểu giữa hai xe
P.122;Dừng lại
P.123a;Cấm rẽ trái
P.123b;Cấm rẽ phải
P.124a;Cấm quay xe
P.124b;Cấm ô tô quay đầu xe
P.124c;Cấm rẽ trái và quay đầu xe
P.124d;Cấm rẽ phải và quay đầu xe
P.124e;Cấm ô tô rẽ trái và quay đầu xe
P.124f;Cấm ô tô rẽ phải và quay đầu xe
P.125;Cấm vượt
P.126;Cấm ô tô tải vượt
P.127;Tốc độ tối đa cho phép
P.127a;Tốc độ tối đa cho phép về ban đêm
P.127b;Tốc độ tối đa trên từng làn đường
P.127c;Tốc độ tối đa phương tiện trên từng làn đường
P.128;Cấm bóp còi
P.129;Kiểm tra
P.130;Cấm dừng xe và đỗ xe
P.131a;Cấm đỗ xe
P.131b;Cấm đỗ xe ngày lẻ
P.131c;Cấm đỗ xe ngày chẵn
P.132;Nhường đường cho xe ngược chiều qua đường hẹp
P.136;Cấm đi thẳng
P.137;Cấm rẽ trái và rẽ phải
P.138;Cấm đi thẳng và rẽ trái
P.139;Cấm đi thẳng rẽ phải
P.140;Cấm xe công nông
R.301a;Đi thẳng
R.301b;Rẽ phải trước biển
R.301c;Rẽ trái trước biển
R.301d;Rẽ phải sau biển
R.301e;Rẽ trái sau biển
R.301f;Chỉ được đi thẳng và rẽ phải sau biển
R.301h;Chỉ được đi thẳng và rẽ trái sau biển
R.301i;Chỉ được rẽ phải và rẽ trái trước biển
R.302a;Hướng phải đi vòng chướng ngại vật, vòng sang phải
R.302b;Hướng phải đi vòng chướng ngại vật, vòng sang trái
R.302c;Hướng phải đi vòng chướng ngại vật, vòng sang trái hoặc phải
R.303;Nơi giao nhau chạy theo vòng xuyến
R.304;Đường dành cho xe thô sơ
R.305;Đường dành cho người đi bộ
R.306;Tốc độ tối thiểu cho phép
R.307;Hết hạn chế tốc độ tối thiểu
R.308a;Tuyến đường cầu vượt cắt qua chỉ đi thẳng hoặc rẽ trái
R.308b;Tuyến đường cầu vượt cắt qua chỉ đi thẳng hoặc rẽ phải
R.309;Ấn còi
R.310a;Hướng đi phải theo cho các xe chở hàng nguy hiểm, rẽ trái sau biển
R.310b;Hướng đi phải theo cho các xe chở hàng nguy hiểm, rẽ phải sau biển
R.310c;Hướng đi phải theo cho các xe chở hàng nguy hiểm, đi thẳng
R.403a;Đường dành cho ô tô
R.403b;Đường dành cho ô tô, xe máy
R.404a;Hết đoạn đường dành cho ô tô
R.404b;Hết đoạn đường dành cho ô tô, xe máy
R.411;Hướng đi trên mỗi làn đường phải theo
R.412a;Làn đường dành cho xe khách
R.412b;Làn đường dành cho xe con
R.412c;Làn đường dành cho xe tải
R.412d;Làn đường dành cho xe mô tô
R.412f;Làn đường dành cho xe ô tô
R.413i;Kết thúc làn đường dành cho xe khách
R.413j;Kết thúc làn đường dành cho xe con
R.413k;Kết thúc làn đường dành cho xe tải
R.413l;Kết thúc làn đường dành cho xe mô tô
R.413n;Kết thúc làn đường dành cho xe ô tô
R.415;Biển gộp làn đường theo phương tiện
R.420;Bắt đầu khu đông dân cư
R.421;Hết khu đông dân cư
R.E,9a;Cấm đỗ xe trong khu vực
R.E,9b;Cấm đỗ xe theo giờ trong khu vực
R.E,9c;Khu vực đỗ xe
R.E,9d;Hạn chế tốc độ tối đa trong khu vực
R.E,10a;Hết cấm đỗ xe trong khu vực
R.E,10b;Hết cấm đỗ xe theo giờ trong khu vực
R.E,10c;Hết khu vực đỗ xe
R.E,10d;Hết hạn chế tốc độ tối đa trong khu vực
R.E,11a;Báo hiệu có hầm chui 
R.E,11b;Kết thúc hầm chui 
S.501;Phạm vi tác dụng của biển
S.502;Khoảng cách đến đối tượng báo hiệu
S.503a;Hướng tác dụng của biển
S.503b;Hướng tác dụng của biển
S.503c;Hướng tác dụng của biển
S.503d;Hướng tác dụng của biển
S.503e;Hướng tác dụng của biển
S.503f;Hướng tác dụng của biển
S.504;Làn đường
S.506a;Hướng đường ưu tiên
S.506b;Hướng đường ưu tiên
S.508a;Biển cấm theo giờ
S.508b;Biển cấm theo giờ
W.201a;Chỗ ngoặc nguy hiểm bên trái
W.201b;Chỗ ngoặc nguy hiểm bên phải
W.201c; Chỗ ngoặc nguy hiểm cso nguy cơ lật bên phải
W.201d; Chỗ ngoặc nguy hiểm cso nguy cơ lật bên trái
W.202a;Nhiều chỗ ngoặc nguy hiểm liên tiếp chỗ ngoặc đầu tiên hướng vòng bên trái
W.202b;Nhiều chỗ ngoặc nguy hiểm liên tiếp chỗ ngoặc đầu tiên hướng vòng bên phải
W.203a;Đường bị hẹp về cả hai bên
W.203b;Đường bị hẹp bên trái
W.203c;Đường bị hẹp bên phải
W.204;Đường hai chiều
W.205a;Đường giao nhau cùng cấp, ngã tư
W.205b;Đường giao nhau cùng cấp ngã ba bên phải
W.205c;Đường giao nhau cùng cấp ngã ba bên trái
W.205d;Đường giao nhau cùng cấp ngã ba cắt ngang
W.205e;Đường giao nhau cùng cấp ngã ba chữ Y
W.206;Giao nhau chạy theo vòng xuyến
W.207a;Giao nhau với đường không ưu tiên cắt ngang
W.207b;Giao nhau với đường không ưu tiên ngang bên phải
W.207c;Giao nhau với đường không ưu tiên ngang bên trái
w.207d;Giao nhau với đường không ưu tiên ngang bên trái và phải
W.207e;Giao nhau với đường không ưu tiên ngang bên phải và trái
W.207f;Giao nhau với đường không ưu tiên chéo bên trái
W.207g;Giao nhau với đường không ưu tiên chéo bên phải
W.207h;Giao nhau với đường không ưu tiên 
W.207i;Giao nhau với đường không ưu tiên
W.207k;Giao nhau với đường không ưu tiên
W.207l;Giao nhau với đường không ưu tiên
W.208;Giao nhau với đường ưu tiên
W.209;Giao nhau có tín hiệu đèn
W.210;Giao nhau với đường sắt có rào chắn
W.211a;Giao nhau với đường sắt không rào chắn
W.211b;Giao nhau với đường tàu điện
W.212;Cầu hẹp
W.213;Cầu tạm
W.214;Cầu quay - cầu cất
W.215a;Kè, vực sâu phía trước
W.215b;Kè, vực sâu phía bên phải
W.215c;Kè, vực sâu phía bên trái
W.216a;Đường ngầm
W.216b;Đường ngầm có nguy cơ lũ quét
W.217;Bến phà
W.218;Cửa chui
W.219;Dốc xuống nguy hiểm
W.220;Dốc lên nguy hiểm
W.221a;Đường có ổ gà, lồi lõm
W.221b;Đường có gồ giảm tốc
W.222a;Đường trơn
W.222b;Lề đường nguy hiểm
W.223a;Vách núi nguy hiểm phía bên trái
W.223b;Vách núi nguy hiểm phía bên phải
W.224;Đường người đi bộ cắt ngang
W.225;Trẻ em
W.226;Đường người đi xe đạp cắt ngang
W.227;Công trường
W.228a;Đá lở phía bên trái
W.228b;Đá lở phía bên phải
W.228c;Sỏi đá bắn lên
W.229;Dải máy bay lên xuống
W.230;Gia súc
W.231;Thú rừng vượt qua đường
W.232;Gió ngang
W.233;Nguy hiểm khác
W.234;Giao nhau với đường hai chiều
W.235;Đường đôi
W.236;Hết đường đôi
W.237;Đường có độ vòng lớn
W.238;Đường cao tốc phía trước
W.239;Đường cáp điện phía trên
W.240;Đường hầm phía trước
W.241;Ùn tắc giao thông
W.242a;Nơi 1 đường sắt giao vuông góc với đường bộ
W.242b;Nơi 2 đường sắt giao vuông góc với đường bộ
W.243a;Nơi đường sắt giao không vuông góc với đường bộ cách 50m
W.243b;Nơi đường sắt giao không vuông góc với đường bộ cách 100m
W.243c;Nơi đường sắt giao không vuông góc với đường bộ cách 150m
W244;Đoạn đường hay xảy ra tai nạn
W.245a;Đi chậm
W.245b;Đi chậm (Tuyến đường đối ngoại)
W.246a;Chú ý chướng ngại vật, vòng tránh hai bên
W.246b;Chú ý chướng ngại vật, vòng tránh sang bên trái
W.246c;Chú ý chướng ngại vật, vòng tránh sang bên phải
W.247;Chú ý xe đỗ